Offense,Category,Year,Time of Day,Occurred DateTime,Report DateTime,Location Type,Census Block Group,Latitude,Longitude,APD Sector,APD District,Council District
SEXUAL ASSAULT W/ OBJECT,rape,2013,Afternoon,2013-06-28 15:59:00,2013-06-28 19:58:00,RESIDENCE / HOME,4530438002.0,30.3841206,-97.6617497,Edward,7,1
THEFT,theft,2021,Evening,2021-08-08 17:29:00,2021-08-08 17:29:00,DEPARTMENT / DISCOUNT STORE,4530023041.0,30.2442403,-97.7278838,Henry,2,3
WARRANT ARREST NON TRAFFIC,court,2016,Evening,2016-09-23 20:17:00,2016-09-23 20:17:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530023232.0,30.2333784,-97.7481133,David,2,3
DWI,traffic,2008,Night,2008-04-19 23:14:00,2008-04-19 23:14:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009023.0,30.2568324,-97.7178294,Charlie,1,3
FAMILY DISTURBANCE,family,2021,Morning,2021-05-21 07:47:00,2021-05-21 07:47:00,RESIDENCE / HOME,4530006061.0,30.2943811,-97.74318,Baker,1,9
BURGLARY OF VEHICLE,theft,2003,Night,2003-06-26 02:14:00,2003-06-26 02:14:00,PARKING /DROP LOT/ GARAGE,4530402001.0,30.3257814,-97.688573,Ida,2,4
THEFT CATALYTIC CONVERTER,theft,2022,Morning,2022-04-24 08:00:00,2022-05-06 18:55:00,HOTEL / MOTEL / ETC.,4530024112.0,30.1994992,-97.7560889,Frank,5,2
ASSAULT WITH INJURY,assault,2010,Night,2010-06-20 01:24:00,2010-06-20 01:24:00,BAR / NIGHTCLUB,4530011011.0,30.2696516,-97.7375527,George,2,9
DISTURBANCE - OTHER,disturbance,2023,Night,2023-02-25 02:51:00,2023-02-25 02:51:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011011.0,30.2696516,-97.7375527,George,2,9
CRIMINAL TRESPASS,trespass,2005,Night,2005-07-23 23:15:00,2006-05-13 23:24:00,RESIDENCE / HOME,4530011031.0,30.2590809,-97.73992,George,3,9
AGG PROMOTION OF PROSTITUTION,prostitution,2008,Afternoon,2008-11-14 13:30:00,2008-11-14 13:30:00,RESIDENCE / HOME,4530409003.0,30.3780333,-97.6925235,Edward,1,4
BURGLARY OF VEHICLE,theft,2005,Night,2005-12-29 21:16:00,2005-12-29 21:16:00,PARKING /DROP LOT/ GARAGE,4530316001.0,30.4268865,-97.7386752,Adam,3,6
UNLAWFUL CARRYING WEAPON,weapons,2022,Morning,2022-05-06 07:18:00,2022-05-06 07:18:00,PARKING /DROP LOT/ GARAGE,4530442001.0,30.4301484,-97.663273,Edward,6,7
BURGLARY OF VEHICLE,theft,2004,Afternoon,2004-03-06 15:00:00,2004-03-06 15:36:00,RESIDENCE / HOME,4530407001.0,30.3654608,-97.7096301,Edward,2,4
BURGLARY OF VEHICLE,theft,2005,Afternoon,2005-02-17 16:15:00,2005-02-17 19:15:00,PARKING /DROP LOT/ GARAGE,4530337002.0,30.4398295,-97.7906726,Adam,8,6
ASSAULT W/INJURY-FAM/DATE VIOL,assault,2020,Evening,2020-08-04 18:36:00,2020-08-04 18:36:00,RESIDENCE / HOME,4530304001.0,30.2089285,-97.8105372,David,4,5
BURGLARY OF VEHICLE,theft,2009,Night,2009-03-16 22:30:00,2009-03-17 09:07:00,RESIDENCE / HOME,4530016021.0,30.2900812,-97.7782019,Baker,7,10
FEDERAL VIOL/OTHER,other,2010,Morning,2010-08-16 10:19:00,2010-08-16 10:19:00,AIR / BUS / TRAIN TERMINAL,4539800001.0,30.1946633,-97.666661,Airport,S,2
CRIMINAL MISCHIEF,property,2015,Morning,2015-12-17 09:40:00,2015-12-17 21:22:00,COMMERCIAL / OFFICE BUILDING,4530410003.0,30.3703661,-97.6876942,Edward,1,4
DISTURBANCE - OTHER,disturbance,2013,Afternoon,2013-04-28 16:46:00,2013-04-28 17:22:00,FIELD / WOODS,4530023261.0,30.244493,-97.7125417,Henry,3,3
